Sprint,Rubric Area,Issue,Issue State,Task / Workstream,Code Status,Working Functionality,Remaining Work,Verification / Evidence,Submission Note
"Sprint 1","Goal Achievement and Quality","#8","Closed","Project setup and local dev script","Complete","Backend and frontend local setup are documented; FastAPI app, health endpoint, CORS, settings, logging, storage folders, Next.js app shell, navigation, API client, and dev script are in place.","None for Sprint 1.","Backend tests pass: 48 passed. README documents local setup. Issue closed with evidence comment.","Counts as completed Sprint 1 foundation work."
"Sprint 1","Process, Documentation and Version Control","#9","Closed","Sprint 1 demo checklist and notes","Complete","Sprint 1 demo checklist exists at docs/sprint-1-demo-checklist.md with demo script, rubric evidence, test evidence, limitations, and carryover.","Only attach screenshots or LMS-specific evidence if required by submission instructions.","docs/sprint-1-demo-checklist.md and this CSV are present in repo. Issue closed with evidence comment.","Supports rubric documentation/process score."
"Sprint 1","Goal Achievement and Quality","#15","Closed","Compression, conversion, and filename cleanup","Complete","Image Optimizer can process uploaded images, apply quality settings, strip metadata, convert JPG/PNG/WebP, flatten transparency for JPG, clean filenames, and report processed results.","None for Sprint 1.","Backend test suite covers processing, validation, filenames, and download paths. Issue closed with evidence comment.","Core Sprint 1 user workflow is implemented."
"Sprint 1","Technical Complexity and Effort","#18","Closed","Processed image ZIP export","Complete","Processed images can be exported from GET /api/jobs/{job_id}/export.zip and downloaded from frontend result flows.","None for Sprint 1.","Backend tests pass and export endpoint is implemented. Issue closed with evidence comment.","Completes Sprint 1 upload-to-download workflow."
"Sprint 1","Process, Documentation and Version Control","#6","Merged PR","Sprint planning docs","Complete","Sprint milestone plan, issue template, project plan, capstone proposal, and progress CSV align implementation with rubric evidence.","GitHub Project board could not be verified because gh lacks read:project scope; this does not block Sprint 1 code submission.","PR #6 merged; docs are committed under docs/.","Shows planning and Scrum/process evidence."
"Sprint 1","Goal Achievement and Quality","No issue","Complete","Dashboard shell and navigation","Complete","Dashboard lists implementation queue and links active tools: Image Optimizer, SEO Metadata, and Image Resizer.","None for Sprint 1.","Frontend build passes. Route / prerenders successfully.","Supports clear demo flow."
"Sprint 1","Goal Achievement and Quality","No issue","Complete","Image and ZIP upload UI/API","Complete","Users can upload JPG, PNG, WebP, and ZIP files; backend safely extracts ZIP entries, rejects unsafe paths, validates real images, and reports accepted files.","None for Sprint 1.","Backend tests cover single image upload, ZIP upload, unsupported files, unsafe ZIP paths, and fake image rejection.","Core Sprint 1 upload workflow works."
"Sprint 1","Technical Complexity and Effort","No issue","Complete","OpenAPI and typed API contract","Complete","Swagger UI, ReDoc, /openapi.json, typed responses, endpoint summaries, and shared/api-contracts/openapi.json are in place.","None for Sprint 1.","OpenAPI tests pass.","Supports technical complexity and documentation rubric."
"Sprint 2","Goal Achievement and Quality","#11","Closed","Brand context UI","Complete","SEO Metadata page lets users upload TXT/DOCX/PDF brand context documents, view attached files, and preview extracted context.","Persisted metadata approvals are separate Sprint 3 review workflow work.","Issue closed with evidence comment.","Implemented beyond Sprint 1 scope; useful for demo if needed."
"Sprint 2","Technical Complexity and Effort","#12","Closed","Brand context document upload backend","Complete","Backend accepts TXT, DOCX, and PDF brand documents, extracts text, validates size/type, truncates context, and stores it with the job.","None for brand context upload itself.","Backend tests cover TXT and DOCX extraction plus unsupported file rejection. Issue closed.","Implemented beyond Sprint 1 scope."
"Sprint 2","Goal Achievement and Quality","#13","Closed","SEO Metadata page and review table","Complete for planned metadata page scope","SEO Metadata page loads image jobs, lists files/statuses, generates metadata, supports local field edits, per-image regenerate, brand context, previews, and CSV export.","Persisting edits and accept/approve actions remains Sprint 3 review workflow carryover.","Issue closed with evidence comment explaining review persistence is separate carryover.","Implemented beyond Sprint 1 scope."
"Sprint 2","Technical Complexity and Effort","#14","Closed","Ollama image metadata service","Complete","AI metadata service creates image previews, calls Ollama, validates JSON, retries invalid JSON once, handles failed rows, supports brand context, and supports dual vision/language model flow.","Requires local Ollama/models for live AI demo; tests use fake clients.","AI metadata backend tests pass. Issue closed.","Shows higher technical complexity."
"Sprint 2","Goal Achievement and Quality","#17","Closed","SEO metadata bulk and per-image regenerate","Complete","Backend and frontend support bulk metadata generation and per-image regenerate through documented endpoints and UI actions.","Persisted approve/accept workflow remains later carryover.","Issue closed with evidence comment.","Implemented beyond Sprint 1 scope."
"Sprint 3","Goal Achievement and Quality","#10","Open","Broken link checker skeleton / website quality workflow","Pending","Website routes exist but currently return placeholder empty page/link/broken-link lists.","Implement website job creation, real crawler, URL status checks, broken-link source reporting, and Sprint 3 demo evidence.","Issue remains open with status comment.","This is one of the 4 open issues."
"Sprint 3","Technical Complexity and Effort","#16","Open","Background worker/service for asynchronous image processing","Backlog / Not implemented","Current POC uses synchronous FastAPI endpoints and local JSON/file storage, which is acceptable for Sprint 1.","Design and implement async worker/queue only if later sprint scope requires production-style processing.","Issue remains open with status comment.","This is one of the 4 open issues."
"Sprint 3","Goal Achievement and Quality","#19","Open","Frontend job UI and results page","Backlog / Partially covered by current pages","Dashboard, Image Optimizer, SEO Metadata, and Image Resizer pages exist, but there is no broad persistent job/results management page.","Build a job history/results page if later sprint demos require persistent job browsing.","Issue remains open with status comment.","This is one of the 4 open issues."
"Sprint 3","Technical Complexity and Effort","#20","Open","Job management API and queueing","Backlog / Not implemented","Basic image job metadata is stored in local job.json files for POC workflows.","Implement generalized job management API and queueing if required in later sprint scope.","Issue remains open with status comment.","This is one of the 4 open issues."
"Sprint 3","Goal Achievement and Quality","No issue","Partial","AI focus-aware resize and crop","Partially complete","Natural-language resize parser, exact crop, fit-inside padding, AI crop suggestion endpoint, crop review endpoint, and Image Resizer UI are implemented.","Persist approved crop decisions and add final review/approval workflow.","Backend tests include crop/resize coverage. Frontend lint/build pass.","Useful progress beyond Sprint 1, but not submitted as fully complete Sprint 3."
"Sprint 4","Goal Achievement and Quality","No issue","Not created","Website screenshots and AI SEO page metadata","Not started","No functional screenshot capture or AI SEO page metadata generator is implemented yet.","Create issues and implement in Sprint 4/final showcase scope if still planned.","No verification evidence yet.","Future work, not Sprint 1 submission scope."
"Cross-Sprint","Submission Readiness","All issues","Current state verified","GitHub issue reconciliation","Complete","Only 4 issues are open: #10, #16, #19, and #20. Completed implementation issues are closed with evidence comments.","Attach demo screenshots/LMS evidence if required by instructor.","Verified with gh issue list. Backend tests pass. Frontend lint and build pass.","CSV now separates closed work from open pending work clearly."
