Issue Title,Sprint,Area,Owner,Story Points,Status,GitHub Status To Use,Acceptance Criteria,Current Evidence,Demo Evidence,Carryover / Notes,Rubric Alignment
"Dashboard workflow refinement","Sprint 2","Frontend","Frontend","5","Completed","Done","Dashboard should guide the user through the workflow instead of showing a static phase table.","Branch dashboard-flow commit 8964313 introduced WorkflowDashboard, collapsible workflow steps, active job banner, shared job query keys, and export step links. The latest main branch now includes this workflow dashboard.","Show dashboard flow after opening the app: Upload Files, Optimize Images, Generate SEO Metadata, Resize / Crop Review, Export Outputs.","Included in the final main-branch submission package after rebasing on the latest remote state.","Goal Quality; Process Docs VC; Technical Complexity"
"Ollama dual-model AI metadata service","Sprint 2","AI / Backend","Backend","8","Completed","Done","Backend generates SEO filename, alt text, caption, and confidence for uploaded images using local Ollama models. Invalid JSON should retry once and failures should be captured per row.","backend/app/services/ai_metadata_service.py implements preview generation, vision description, language metadata generation, JSON extraction, retry handling, failed-row responses, and model labels. Tests in backend/tests/test_ai_metadata.py cover success, retry, brand context prompt injection, and failure states.","Upload an image job, open SEO Metadata, generate metadata, show needs_review rows and model settings.","Live AI requires Ollama and configured models installed on the professor machine. Tests use fake clients, so backend behavior is verifiable without Ollama.","Goal Quality; Technical Complexity"
"SEO Metadata page and review table","Sprint 2","Frontend","Frontend","8","Completed","Done","Users can load an existing image job, see uploaded images, generate metadata, view statuses, inspect image details, edit reviewed fields, approve rows, regenerate one image, and download an image with an SEO filename.","frontend/components/seo-metadata-panel.tsx includes job lookup, settings display, metadata table, detail drawer, persisted edit actions, approve actions, regenerate action, selected export support, and filename-based download links.","After image upload, paste the job ID into SEO Metadata, generate metadata, open a row detail drawer, edit fields, save/approve a row, regenerate one row, and download.","Persisted review/approval workflow is now included on main via commit 0130077 and verified by backend tests.","Goal Quality; Technical Complexity"
"Brand context document upload API","Sprint 2","Backend","Backend","5","Completed","Done","TXT, DOCX, and PDF brand documents should upload to an image job, have text extracted, be truncated to the configured limit, and be stored with the job.","backend/app/routes/image_jobs.py exposes brand-context endpoints. backend/app/services/brand_context_service.py handles storage/extraction. README documents brand context as part of AI metadata.","Upload a TXT, DOCX, or PDF brand file from the SEO Metadata page and show attached documents plus extracted character count.","Quality of extracted PDF text depends on source PDF structure, but empty or unsupported files return clear errors.","Goal Quality; Technical Complexity"
"Brand context UI","Sprint 2","Frontend","Frontend","5","Completed","Done","Users can attach brand documents, see attached files, upload progress, errors, and a preview of extracted context.","frontend/components/seo-metadata-panel.tsx includes file input, upload mutation, progress bar, attached document list, extracted-char count, and context preview.","Upload a brand text document and show the document count plus context preview before metadata generation.","No delete/replace document action yet; users can upload additional context files.","Goal Quality; Process Docs VC"
"Metadata image download with SEO filename","Sprint 2","Backend","Backend","3","Completed","Done","Image download should use processed output if available, otherwise original upload, and apply generated/requested SEO filename safely.","backend/app/services/image_processor.py and backend/app/services/ai_metadata_service.py resolve processed/original download paths and sanitize filename selections. Tests cover fallback, processed-image preference, and persisted metadata review state.","Download one image from the metadata drawer and confirm the filename uses the reviewed SEO stem.","Reviewed filename, alt text, caption, and accepted status are now persisted through metadata update/approve endpoints.","Goal Quality; Technical Complexity"
"AI metadata CSV and selected ZIP export","Sprint 2","Full Stack","Full Stack","5","Completed","Done","Users can export metadata rows and selected images with report.csv and renamed files.","backend/app/services/ai_metadata_service.py implements CSV fields and selected ZIP export. frontend/lib/api.ts exposes CSV/ZIP URL builders. Tests cover CSV fields, unknown field rejection, ZIP contents, processed image preference, and missing image errors.","Select rows on SEO Metadata and download selected metadata ZIP. Inspect report.csv and renamed image files.","The current UI emphasizes selected ZIP export; a more flexible visible-column CSV control can be expanded later.","Goal Quality; Technical Complexity"
"Hydration-safe workspace state","Sprint 2","Frontend","Frontend","2","Completed","Done","Shared active job state should not cause hydration mismatch and should be usable across dashboard/image tools.","frontend/lib/workspace.ts stores active image job state, and components use shared query keys. dashboard-flow aligns AppShell query keys with metadata/upload pages.","Upload images once and navigate between optimizer, metadata, and resizer while preserving the active job ID.","Storage is browser-local only; no multi-user account persistence in this POC.","Goal Quality; Process Docs VC"
"Sprint 2 testing and OpenAPI contract","Sprint 2","QA / Docs","QA","3","Completed","Done","Backend tests and frontend lint should pass, and OpenAPI metadata endpoints should be covered in the canonical contract.","Local review on July 10, 2026: backend .venv/bin/pytest returned 62 passed; frontend npm run lint passed. shared/api-contracts/openapi.json includes metadata endpoints from commit 565ae6d and later authentication/review workflow updates.","Show terminal output or mention these verification commands in the submission notes.","Frontend dev server had a local Node 26 / Next Turbopack issue during review; use Node LTS or Docker for professor run instructions.","Process Docs VC; Goal Quality"
"Sprint 2 demo checklist and submission package","Sprint 2","Docs","Docs","2","Completed in this submission","Done","Submission should include run instructions, task status, known limitations, and a clean uploadable archive.","docs/sprint-2-submission-readme.md and docs/sprint-2-implementation-status.csv document sprint status and professor run steps. submissions/ package is created from the repo excluding local dependencies/runtime folders.","Upload the generated ZIP to the LMS and include the GitHub issue links after creation.","If GitHub issue creation is blocked by auth/network, the CSV still provides the issue/task record for the professor.","Process Docs VC"
"Persist metadata edits and approvals","Sprint 2","Full Stack","Full Stack","5","Completed","Done","Users should save edited filename, alt text, caption, and approval status to the backend and reload the persisted review state.","Commit 0130077 adds PATCH metadata update, single-row approve, bulk approve, accepted status support, frontend save/approve controls, and backend tests for persisted review behavior.","During demo, edit a metadata row, save changes, approve the row, refresh/reload metadata, and show the accepted status remains.","No major carryover remains for persisted metadata review; future Sprint 3 work can focus on broader job history, reporting, and website-quality flows.","Goal Quality; Technical Complexity"
